uniq_id,dept_id,emp_id,first_name,last_name,title,shift,days_off,fte,create_time,modify_time,create_by,modify_by,del_ind
12,1,2,Zen,Ae4b,Cook,AM/PM,Second Weekend,32.0,2020-05-23 23:18:00.000000,2020-05-23 23:18:00.000000,Admin,Admin,n
13,1,3,Zen,Ben,cook,AM,Second Weekend,24.0,2020-05-22 19:50:00.000000,2020-05-22 19:50:00.000000,Admin,Admin,n
15,1,5,Zlaten,Zener,Bus,PM,Second Weekend,40.0,2020-05-22 19:51:00.000000,2020-05-22 19:51:00.000000,Admin,Admin,n
16,1,6,Chopin,SDF,Cr,AM/PM,Second Weekend,40.0,2020-05-22 19:57:00.000000,2020-05-22 19:57:00.000000,Admin,Admin,n
17,1,7,Gomma,Bleo,Tend,AM,First Weekend,32.0,2020-05-22 19:58:00.000000,2020-05-22 19:58:00.000000,Admin,Admin,n
18,1,8,Solam,Bleo,Tend,AM,Second Weekend,24.0,2020-05-22 00:00:00.000000,2020-05-22 00:00:00.000000,Admin,Admin,n
19,1,9,Gomma,Gomez,Carlos,AM,Second Weekend,20.0,2020-05-21 00:00:00.000000,2020-05-21 00:00:00.000000,Admin,Admin,n
110,1,10,Zen,Ae4b,Cook,AM/PM,First Weekend,40.0,2020-05-26 22:26:00.000000,2020-05-26 22:26:00.000000,Admin,Admin,n
111,1,11,Ben,Chopin,Cook,AM,Second Weekend,40.0,2020-05-26 22:32:00.000000,2020-06-10 22:04:00.000000,Admin,Admin,n
1Q115,1,Q115,Chopin,Ber,Cook,AM,First Weekend,33.0,2020-06-03 22:32:00.000000,2020-06-03 22:32:00.000000,Admin,Admin,n
1t,1,t,test,test,test,AM,Second Weekend,33.0,2020-06-03 22:45:00.000000,2020-06-03 22:45:00.000000,Admin,Admin,n
119,1,19,Gwen,Satt,Singer,PM,Second Weekend,20.0,2020-06-03 23:20:00.000000,2020-06-03 23:20:00.000000,Admin,Admin,n
1193,1,193,Gwen,Satt,Singer,PM,First Weekend,20.0,2020-06-03 23:20:00.000000,2020-06-03 23:20:00.000000,Admin,Admin,n
1E11523,1,E11523,Gorsh,Will,Cook,AM,Second Weekend,22.0,2020-06-08 23:05:00.000000,2020-06-08 23:05:00.000000,Admin,Admin,n
1E11524,1,E11524,DaWill,McGorsh,Cook,AM,Second Weekend,32.0,2020-06-08 23:05:00.000000,2020-06-10 21:16:00.000000,Admin,Admin,n
1E11525,1,E11525,McGorsh,DaWill,Cook,AM,First Weekend,32.0,2020-06-08 23:09:00.000000,2020-06-08 23:09:00.000000,Admin,Admin,n
1E11526,1,E11526,Chandi,Addu,Driver,AM,Second Weekend,22.0,2020-06-08 23:15:00.000000,2020-06-08 23:15:00.000000,Admin,Admin,n
1E1345,1,E1345,Chenna,Ri,Cook,AM/PM,First Weekend,60.0,2020-06-10 22:05:00.000000,2020-06-10 22:05:00.000000,Admin,Admin,n
1e1346,1,e1346,Savi,Khan,Process,AM,"{""First Weekend""}",22.0,2020-06-22 23:41:29.682349,2020-06-22 23:41:29.682354,Admin,Admin,n
14,1,4,Beeth,Blamer,Bill,AM,First Weekend,20.0,2020-05-22 19:50:00.000000,2020-06-25 23:32:05.122233,Admin,Admin,n
1EdBd2,1,EdBd2,Brad,McMan,df,AM,First Weekend,22.0,2020-06-03 23:23:00.000000,2020-06-25 23:32:51.236840,Admin,Admin,n
10,1,0,Beeth,Born,cook,AM,First Weekend,40.0,2020-05-23 23:14:00.000000,2020-06-25 23:38:48.873439,Admin,Admin,n
11,1,1,Barn,Acosta,Ba,AM,First Weekend,40.0,2020-05-23 23:14:00.000000,2020-06-25 23:39:27.638589,Admin,Admin,n
